"id","average_wind_speed","gust_wind_speed","wind_direction","rainfall","temperature","humidity","light","uvi","station_name","timestamp"
732,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:22:21.834888+01
733,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:22:53.841862+01
734,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:24:13.838845+01
735,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:28:29.85087+01
736,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:31:25.829307+01
737,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:31:57.834285+01
738,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:33:33.849382+01
739,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:39:41.864615+01
740,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:40:29.849017+01
741,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:42:05.991273+01
742,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:42:21.875064+01
743,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:48:13.892791+01
744,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:50:06.020814+01
745,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:57:49.928668+01
746,0,0,24,207,85,1e,52,0,b0,2022-02-16 19:00:13.935282+01
747,0,0,24,207,85,1e,52,0,b0,2022-02-16 19:02:05.922458+01
748,0,0,24,207,85,1e,52,0,b0,2022-02-16 19:06:37.954581+01
749,0,0,24,207,85,1e,52,0,b0,2022-02-16 19:06:54.050178+01
750,0,0,24,207,85,1e,52,0,b0,2022-02-16 19:18:05.97639+01
751,0,0,24,207,85,1e,52,0,b0,2022-02-16 19:33:18.017023+01
752,0,0,24,207,85,1e,52,0,b0,2022-02-16 19:47:26.043958+01
753,0,0,24,207,85,1e,52,0,b0,2022-02-16 19:48:14.042327+01
754,0,0,24,207,85,1e,52,0,b0,2022-02-16 19:55:42.166743+01
755,0,0,24,207,85,1e,52,0,b0,2022-02-16 19:57:02.053411+01
756,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:01:34.078078+01
757,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:08:14.096385+01
758,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:17:50.103773+01
759,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:19:26.102328+01
760,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:23:58.120602+01
761,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:25:34.11807+01
762,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:26:38.129569+01
763,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:26:54.08549+01
764,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:27:10.228795+01
765,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:28:30.126381+01
766,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:31:26.13144+01
767,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:33:18.24121+01
768,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:34:38.140586+01
769,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:37:02.158065+01
770,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:37:34.147141+01
771,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:44:30.16895+01
772,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:47:26.169454+01
773,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:51:58.18779+01
774,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:53:50.188347+01
775,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:54:38.189528+01
776,0,0,24,207,85,1e,52,0,b0,2022-02-16 20:58:54.205976+01
777,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:02:06.197976+01
778,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:02:38.204894+01
779,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:04:30.217255+01
780,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:08:30.200629+01
781,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:10:06.217888+01
782,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:10:54.236499+01
783,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:11:10.231682+01
784,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:17:50.340246+01
785,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:20:14.248995+01
786,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:21:34.255558+01
787,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:29:18.267605+01
788,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:33:18.369063+01
789,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:43:42.396325+01
790,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:52:14.4139+01
791,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:53:02.275541+01
792,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:55:42.319816+01
793,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:56:14.277549+01
794,0,0,24,207,85,1e,52,0,b0,2022-02-16 21:57:34.303232+01
795,0,0,24,207,85,1e,52,0,b0,2022-02-16 22:02:38.340458+01
796,0,0,24,207,85,1e,52,0,b0,2022-02-16 22:14:38.360832+01
797,0,0,24,207,85,1e,52,0,b0,2022-02-16 22:14:54.362589+01
798,0,0,24,207,85,1e,52,0,b0,2022-02-16 22:16:30.37158+01
799,0,0,24,207,85,1e,52,0,b0,2022-02-16 22:18:22.363127+01
800,0,0,24,207,85,1e,52,0,b0,2022-02-16 22:23:10.381697+01
801,0,0,24,207,85,1e,52,0,b0,2022-02-16 22:25:50.38117+01
802,0,0,24,207,85,1e,52,0,b0,2022-02-16 22:28:14.387486+01
803,0,0,24,207,85,1e,52,0,b0,2022-02-16 22:31:10.399615+01
804,0,0,24,207,85,1e,52,0,b0,2022-02-16 22:34:38.366035+01
805,0,0,24,207,85,1e,52,0,b0,2022-02-16 22:40:46.41995+01
806,0,0,24,207,85,1e,52,0,b0,2022-02-16 22:54:54.451172+01
807,0,0,24,207,85,1e,52,0,b0,2022-02-16 22:58:22.455913+01
808,0,0,24,207,85,1e,52,0,b0,2022-02-16 23:03:58.480147+01
809,0,0,24,207,85,1e,52,0,b0,2022-02-16 23:09:34.480937+01
810,0,0,24,207,85,1e,52,0,b0,2022-02-16 23:11:42.608043+01
811,0,0,24,207,85,1e,52,0,b0,2022-02-16 23:17:02.612364+01
